"""Meter Reading (MR) Doc. No.""",HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,FORENAME,SURNAME,STREET,STREETNO,POSTCODE1,CITY1,CITY2,EMAIL
VB+ZrQpAJJZkhhjROvipCIrHbJQLoqRoEWpQeyp,xJkDcCtdIXNXuMYOakAGBXsRiqMBjjzil/gTjaj,PjUUpVGUVYVkAbRf+NWZSgGFBdRfVzWYUTUFbdU,lWjZGtWSyliAszzUoNRltwWWQMQyubKZYzoQLYA,OOHZS+ZGBNkXFsmExdQhvmNhNLssVBHHRcutjor,14,EVU,Frau,Julia,Schmidt,Marktplatz,3b,58809,Neuenrade,Neuenrade,julia.schmidt@example.com
wESuejTmsztrkqIqTfyOZODVhAdcZoWVLuSxT/S,vZQYyWyeZhmoqUTkljGW/JsZYgzHgAmaaixKcPW,bXjvVBbVFlPZaNOmhwZKWAgUIWNDDkgmCiclqBx,ruEB+BZgKwDVKlqMJ/QHtqeQVInSwBOkwlpacWp,AQy+FLQwKHvifvRawNU/lTUAEYtcvVZVsFkOZb/,14,KSA,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,42,58762,Altena,Altena,anna.hoffmann@example.com
uxDPiIU+QnptodSbWTmQTJcnRZTrobfpZnKsBTC,KMWvJXEDyxLzhbUZGqcutkiZanNUKaissbe/JOX,RBWcYEWtTEQPwmVIDvxhjd/zcAucp/WZvjsRHCU,qIev/VYtrpXtikhXV+IuPQRXxsCQYbdxRLxJkk+,mDtYGgGXSx/VEfzWSDWXOfZidgVzuJrh/NuwhsS,33,KSA,Dipl.-Ing.,Sabine,Müller,Bahnhofstraße,1a,58762,Altena,Altena,sabine.müller@example.com
HujjjREWc+LCWBjzenYIZhFWUquZJHjviuiRjXG,WBatRVEECsWmUeoqHfgzvRyKs/VTlWTkURZSVUZ,fZPXXfDYN/PodEIUqPhtQyrfhzhhyRZM+dNOTTP,kRUzyYtoXKxWozRCnEtRtVBxRyRUBbrbTADWsdT,peqXlZUXvfsUJNETEKEvFcRyRIePkSPkLsKqhYH,79,KSA,Prof.,Julia,Fischer,Waldweg,25,58553,Halver,Halver,julia.fischer@example.com
nRP+xtWJfAQypUZURSljnPXRPWVWvVmQUNU+rAS,e+pwcXW+mqvBFYUhxlXKZXpQWqlRUJvmSQPiYHl,UiSctWGtZPUlCRpBMdUYbiFapRYuqFXTEMTtSsa,cHkQyIbdzJdOozTYUjqI+MWxqvifxePJxsUfMVt,vYmSSTSaYWSQlZjZWXgORpvMUjKDzjlv+xQRXTG,82,KSA,Dipl.-Ing.,Julia,Wagner,Marktplatz,20,58762,Altena,Altena,julia.wagner@example.com
ZhiYDeKmMxSGGECIQZvyCTrkbrSTYxPjlAViXyV,cpPTsXsUaRrVvSDVXyDVVYWdJRVQtEYrxgtztWn,OM+drkTveWtKivJPZlhiXuNbCCDQKURGZdmQfnJ,UTOuNdWxaMFtrISxKSoSpUiayEQphs/vQxSYRU+,YGDnnqYHym+IsPJUfzNuBaQjfSoeUMZXRGglVqX,9,EVU,Prof.,Maria,Müller,Bergstraße,10,58762,Altena,Altena,maria.müller@example.com
/HKTLPcYvvVovvVYNEfteJcKVpEbrBfjtcuiCXw,SEjkWt/faPRbplsSuVUJ+zBtXWCuTiqUTfHrQOG,YfetJXhXGCIgBaHzWBupfYpvZoUNEtqzyExtiFe,UxXQyYvgKIGOdhNYWaYOXpcAtrUZokpTVRavFmD,XSLqUnXSRvRrWPSUGyBtKbALHfvUdVXgqirQPEV,6,EVU,Frau,Hans,Schmidt,Hauptstraße,5,58809,Neuenrade,Neuenrade,hans.schmidt@example.com
VQUgBwcMALhrObJoVKCjjgHGITxYeNWasZaoSJt,RYNfDRsZd+zECVddBFZoYUxcYvDYUcyZLMohpLg,HyqNMoUsbEYyfcSsKZi+UtXIIaUXgIDOtynRVpv,NiipvfbaEZtFGYvkXILytKncnkQCvYLJyJq+MuT,ptfTBwkJx+LVY+HVtSzuxELfXqdLVVhIYYRlmQA,58,KSA,Herr,Anna,Müller,Bergstraße,20,58762,Altena,Altena,anna.müller@example.com
dtBmpznPopXVQAYre/EbDTw/TyDNLmZRxV/BjFJ,fxVYNuUDYwZHtQhweAXWZbZllVGPuwyVGHWtkXT,CSodgZZvdcFWeSVQHudOVGJoGhloYhWiQoXQWnT,EUMsDNRNkbLrSAZwJxfqypqRXjdFsKdFVVuvrzf,ShuOR+DdMDuAhQOEgjSNNjrqqbPLexARivhPatd,75,KSA,Dr.,Sabine,Weber,Schulstraße,1a,58809,Neuenrade,Neuenrade,sabine.weber@example.com
KwvQ/VQQEjqSIYgWFvIQAUnqxwtgUgktSIrmFCh,JorcPRLdgdqYWmUTyRQUVjkijTUScojUZlS+UYZ,UvYMlgrXYEHkLmQkUEScKYmDYQWUSmc+XYPTVnm,QbLUZHtroItyJOcNSxTYRUVSntCrvdPT+AjhgZu,QnTWwPSuX/VshsTLJp+mnetfQYnQUWPtxyoxOwz,4,EVU,Dipl.-Ing.,Thomas,Wagner,Hauptstraße,1a,58809,Neuenrade,Neuenrade,thomas.wagner@example.com
UlQhsEqBKbb+tnGGeQqWnfpRjCTRXzWkQWWKl+K,yulWrnCQiQSSHxKbYMULEYugdkcRqqPptoHvrLv,nWWSTPdUNAatjQv/ZDFKN+/lsEqVL/WeYzRVVxC,'++LgzOQQzSPxyZbfXYSeTqRQMvFFzBZSxEWBYpj,PJvyaKYlOQT/TDTBZkvyJdEKTTnIDIQDRKqfRKI,14,EVU,Frau,Michael,Fischer,Kirchweg,5,58553,Halver,Halver,michael.fischer@example.com
DXrUIQwRKYTYUPU+oDe+zbyDIabzSphd+eRUsDs,RTZXSojAZF+WfKXiLdRYQRbSsbVQZSKXRQqMyj/,BpWTLJAkoAUbhsVHjRWgQcipNlgUDZFSKoeATrn,cHqHlQYoWmSUgg+CQwrfBrzhiZdIkEgMzTxeEGU,kvTYSqQ/mCWIGVLkBTagCpzrlYalwJwliWFYcUD,3,KSA,Frau,Maria,Wagner,Hauptstraße,3b,58553,Halver,Halver,maria.wagner@example.com
YuXylxLQlhxTZUrTpnQtBRjJTXNCuFhLZQkW/kn,lGcRhYlWbLdcdAUioqYcvkUFDNUsoVdOfqPvLMV,fShnSfvnTaH+EBUaNbBzQgZJxURBZ+QMdqcYUBK,DpxKeaYsxXywoGaTIFLsVRAJZYJThuVkyAvorWO,ClVeEUvHPQuJZuWTFRTVRVpDKBlltFtXEwjyjOq,22,EVU,Frau,Michael,Meyer,Bahnhofstraße,30,58809,Neuenrade,Neuenrade,michael.meyer@example.com
lnn/oVHnVCoIvR+BWUnUxfADTCrCYTWWWINrb+q,QBqrQmreLvWcWNzPyXkuRetRuMeUAFscGSE+EQI,S+bABLNEpiTQMlNRyGtOXmlZdVWpfs+YYbbZZrY,wXuGAkYfSZPVNZTUHMPXPvgBefTlaYRI/YiJAY/,ZTYvWrVWVHJSNMZVfe/QsKRQxCJExAalSaUOWgH,3,KSA,Dr.,Peter,Wagner,Bahnhofstraße,42,58553,Halver,Halver,peter.wagner@example.com
l/jqpxYaZgXyFcfRuWTJLuTokBXMRlWsoNQdeNC,RVJLta/TMYo/mKRLyHBXTQNbUKRgcstWPqYBTZV,fnjzdZkgfUsgKAbHkmcxRFOmPhMGrSkOZflPJMj,qkriJYUajwpLjpTfCcKOieBZlRex+WuQSHTIHnL,wNwpJSoxfQlVI+VKasYULbQpXOSbxxHnvXgslgE,62,KSA,Dipl.-Ing.,Anna,Schulz,Marktplatz,1,58809,Neuenrade,Neuenrade,anna.schulz@example.com
'+UTGCGYScaUNABNyUofbmfaHByBjiDfxLi/tadr,BYrUTcppylSxUoibBhROvwURdQZgbsQVRsVMRHp,MezRDTclYqgWZVvnAJGSPrOZ+ErgyQVISHZlWvG,MYybqYlgmdwYUPRDYbXeROABhE/meQg+KVJXbqW,GKAZWQvDzpXgvsUZdqQksEzPhAClbQZuVZQp/nb,33,EVU,Frau,Sabine,Weber,Lindenallee,30,58553,Halver,Halver,sabine.weber@example.com
mjbAIVHldPVjhSurQgYTMmCIWH+mbQMpZUCFqqX,CVGcjVxTntYGFrUvbzIPZARTORLTjxziSuSQLrN,PHaTbYAlCAJULsrLPrqjOXfGNddWuCWnhlhyNhU,UxaAVpHFRezjGsAdSxSAaXCStYNxGbOYqoLOhKN,zSJQuatTANbZtoZKaaORSgJzopeWqCGRqKAUgEx,37,KSA,Herr,Anna,Weber,Schulstraße,10,58809,Neuenrade,Neuenrade,anna.weber@example.com
ScOVOjmzMbXUdsnQqZGWYTBOOvsvYTIbgJOM/Pb,hwXYGBgDCHKZtXDVWbRckVGrXYgPi+WWYVBJXto,PSpoJPcVIbYQyqTUOhvQh+YOYriVKCJKiIuuWk/,rRofghuXmqmVXuDlvvWbtzyD/nh/SZTVGnhXwef,/Zo+ZhLMUzggzLHJuyiQdoTJsSHodSOYSFxKfUQ,36,KSA,Prof.,Petra,Schmidt,Hauptstraße,30,58553,Halver,Halver,petra.schmidt@example.com
