"""Meter Reading (MR) Doc. No.""",HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,SM_FORENAME,SM_SURNAME,SM_STREET,SM_STREETNO,SM_POST_CODE1,SM_CITY1,SM_CITY2,SM_EMAIL
Meter Reading (MR) Doc. No.,bDlauQiEdImKZQYYYwPhSeIaZf+CTvYrjrOYvHF,lTzCpTeMpUdtzEtlOPrlUIQhqvRZXXAMmdDVQFh,sW/WFfSPn/PXXl+LxuCXSE+xuZZwAVcvhmgpRiU,rkVBIQNCdOAVOeqrQrUwYXwdeSUeUUJxUdUZtZf,6,MANDATORY_READING,Frau,Peter,Fischer,Kirchweg,10,58540,Meinerzhagen,Meinerzhagen,peter.fischer@example.com
Meter Reading (MR) Doc. No.,bDlauQiEdImKZQYYYwPhSeIaZf+CTvYrjrOYvHF,lTzCpTeMpUdtzEtlOPrlUIQhqvRZXXAMmdDVQFh,sW/WFfSPn/PXXl+LxuCXSE+xuZZwAVcvhmgpRiU,rkVBIQNCdOAVOeqrQrUwYXwdeSUeUUJxUdUZtZf,6,MANDATORY_READING,Frau,Peter,Fischer,Kirchweg,10,58540,Meinerzhagen,Meinerzhagen,peter.fischer@example.com
Meter Reading (MR) Doc. No.,bDlauQiEdImKZQYYYwPhSeIaZf+CTvYrjrOYvHF,lTzCpTeMpUdtzEtlOPrlUIQhqvRZXXAMmdDVQFh,sW/WFfSPn/PXXl+LxuCXSE+xuZZwAVcvhmgpRiU,rkVBIQNCdOAVOeqrQrUwYXwdeSUeUUJxUdUZtZf,6,MANDATORY_READING,Frau,Peter,Fischer,Kirchweg,10,58540,Meinerzhagen,Meinerzhagen,peter.fischer@example.com
Meter Reading (MR) Doc. No.,bDlauQiEdImKZQYYYwPhSeIaZf+CTvYrjrOYvHF,lTzCpTeMpUdtzEtlOPrlUIQhqvRZXXAMmdDVQFh,sW/WFfSPn/PXXl+LxuCXSE+xuZZwAVcvhmgpRiU,rkVBIQNCdOAVOeqrQrUwYXwdeSUeUUJxUdUZtZf,6,MANDATORY_READING,Frau,Peter,Fischer,Kirchweg,10,58540,Meinerzhagen,Meinerzhagen,peter.fischer@example.com
Meter Reading (MR) Doc. No.,JnYXYvYOodGmYpIpAScYlZUYiX/WpiZSTbWig+S,dpvsPVgZMVeupnjzOYYpUIOTsKZWvWPXpYtWvRU,CeIRlHKMMBZpZQuvYRkESdTsyYsXARTahSJVzeB,yRGpmDKdrYLEVtmL+UpaDpqfSdoZQTYu+mrmLDk,122,MANDATORY_READING,,,,,,,,,
Meter Reading (MR) Doc. No.,JnYXYvYOodGmYpIpAScYlZUYiX/WpiZSTbWig+S,dpvsPVgZMVeupnjzOYYpUIOTsKZWvWPXpYtWvRU,CeIRlHKMMBZpZQuvYRkESdTsyYsXARTahSJVzeB,yRGpmDKdrYLEVtmL+UpaDpqfSdoZQTYu+mrmLDk,122,MANDATORY_READING,,,,,,,,,
Meter Reading (MR) Doc. No.,JnYXYvYOodGmYpIpAScYlZUYiX/WpiZSTbWig+S,dpvsPVgZMVeupnjzOYYpUIOTsKZWvWPXpYtWvRU,CeIRlHKMMBZpZQuvYRkESdTsyYsXARTahSJVzeB,yRGpmDKdrYLEVtmL+UpaDpqfSdoZQTYu+mrmLDk,122,MANDATORY_READING,,,,,,,,,
Meter Reading (MR) Doc. No.,JnYXYvYOodGmYpIpAScYlZUYiX/WpiZSTbWig+S,dpvsPVgZMVeupnjzOYYpUIOTsKZWvWPXpYtWvRU,CeIRlHKMMBZpZQuvYRkESdTsyYsXARTahSJVzeB,yRGpmDKdrYLEVtmL+UpaDpqfSdoZQTYu+mrmLDk,122,MANDATORY_READING,,,,,,,,,
Meter Reading (MR) Doc. No.,mOceNGihTSIda+JcXRndcJVtQYzQwNynesiSQaP,sRrEEaUCILlxHHkOx+UITTmWcIhQZ/RwgSKtRQk,tC++/MIcRbJPdYWAVBdeefug+F+OhiWvTDcfiSX,kCyqUtyoEVODXQgitJSSKEfWMGQfShqZyzahaQt,7,MANDATORY_READING,Herr,Julia,Schulz,Kirchweg,50,58840,Plettenberg,Bremcke,julia.schulz@example.com
Meter Reading (MR) Doc. No.,mOceNGihTSIda+JcXRndcJVtQYzQwNynesiSQaP,sRrEEaUCILlxHHkOx+UITTmWcIhQZ/RwgSKtRQk,tC++/MIcRbJPdYWAVBdeefug+F+OhiWvTDcfiSX,kCyqUtyoEVODXQgitJSSKEfWMGQfShqZyzahaQt,7,MANDATORY_READING,Herr,Julia,Schulz,Kirchweg,50,58840,Plettenberg,Bremcke,julia.schulz@example.com
