Meter Reading (MR) Doc. No.,HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,FORENAME,SURNAME,STREET,STREETNO,POST_CODE1,CITY1,CITY2,EMAIL
R//Jk/gxfcMmdoMoQiPqJNYIRYwx+mEQFhggX+Y,fZEzlapYGdRzAstmboOjUQ+aXVESyiwdpLyGQHd,lSPeVmXihHZj/XGlfSYvmKRAmsVeVmCqYhjJ+Vh,YIYSWXReUHUNYRQSnJMskWYXXcnsNVgqIBtZKOX,oCQIWAbRnvRAvspTUZS/kRJJouwHnVZOMZCqFde,33,KSA,Frau,Anna,Müller,Waldweg,3b,58540,Meinerzhagen,Meinerzhagen,anna.müller@example.com
oXuLuLyylsWqZOpdxFLWilSVBQVfsc+uxpVvZRd,fZEzlapYGdRzAstmboOjUQ+aXVESyiwdpLyGQHd,lSPeVmXihHZj/XGlfSYvmKRAmsVeVmCqYhjJ+Vh,YIYSWXReUHUNYRQSnJMskWYXXcnsNVgqIBtZKOX,oCQIWAbRnvRAvspTUZS/kRJJouwHnVZOMZCqFde,33,KSA,Frau,Anna,Müller,Waldweg,3b,58540,Meinerzhagen,Meinerzhagen,anna.müller@example.com
svUIUGXuxFFnfkaVDEAYgNpbNZpiaOQyJocT+he,fZEzlapYGdRzAstmboOjUQ+aXVESyiwdpLyGQHd,lSPeVmXihHZj/XGlfSYvmKRAmsVeVmCqYhjJ+Vh,YIYSWXReUHUNYRQSnJMskWYXXcnsNVgqIBtZKOX,oCQIWAbRnvRAvspTUZS/kRJJouwHnVZOMZCqFde,33,KSA,Frau,Anna,Müller,Waldweg,3b,58540,Meinerzhagen,Meinerzhagen,anna.müller@example.com
uWVPPQfRPWSZJTRyUBcWjjCqxR+bFpV/RcXUZ/S,fZEzlapYGdRzAstmboOjUQ+aXVESyiwdpLyGQHd,lSPeVmXihHZj/XGlfSYvmKRAmsVeVmCqYhjJ+Vh,YIYSWXReUHUNYRQSnJMskWYXXcnsNVgqIBtZKOX,oCQIWAbRnvRAvspTUZS/kRJJouwHnVZOMZCqFde,33,KSA,Frau,Anna,Müller,Waldweg,3b,58540,Meinerzhagen,Meinerzhagen,anna.müller@example.com
uqlYhTlzmJyuJBXVciXMS+MKEdRGSgBqsdAAvyp,fZEzlapYGdRzAstmboOjUQ+aXVESyiwdpLyGQHd,lSPeVmXihHZj/XGlfSYvmKRAmsVeVmCqYhjJ+Vh,YIYSWXReUHUNYRQSnJMskWYXXcnsNVgqIBtZKOX,oCQIWAbRnvRAvspTUZS/kRJJouwHnVZOMZCqFde,33,KSA,Frau,Anna,Müller,Waldweg,3b,58540,Meinerzhagen,Meinerzhagen,anna.müller@example.com
xjXotguSXcmwNISRmUxrblCTaYSzjcdOQFPJTXZ,fZEzlapYGdRzAstmboOjUQ+aXVESyiwdpLyGQHd,lSPeVmXihHZj/XGlfSYvmKRAmsVeVmCqYhjJ+Vh,YIYSWXReUHUNYRQSnJMskWYXXcnsNVgqIBtZKOX,oCQIWAbRnvRAvspTUZS/kRJJouwHnVZOMZCqFde,33,KSA,Frau,Anna,Müller,Waldweg,3b,58540,Meinerzhagen,Meinerzhagen,anna.müller@example.com
BymaQl/MwThXdXCvpUgRlhKLQokWzjBVOUYgces,dWObsQTnxIQEoeDVpYSargXKqJwWGyGYxQLfQVz,sbWTUSfWcjMI/d+BXcRTOTfmjWUxShXMduSUyup,kuUdnicQymTUaCDzZjpVTFaYRhyNChkdwApyspp,YDNiYYYv/fqbaZE/RpTEKkLUQRHVMQGEs+qqxfv,8,KSA,Dr.,Thomas,Becker,Kirchweg,15,58093,Hagen,Fley,thomas.becker@example.com
LHXSOrpmyRfZkXWXcnXOCAdRIgmxepZ/oBFZFg/,dWObsQTnxIQEoeDVpYSargXKqJwWGyGYxQLfQVz,sbWTUSfWcjMI/d+BXcRTOTfmjWUxShXMduSUyup,kuUdnicQymTUaCDzZjpVTFaYRhyNChkdwApyspp,YDNiYYYv/fqbaZE/RpTEKkLUQRHVMQGEs+qqxfv,8,KSA,Dr.,Thomas,Becker,Kirchweg,15,58093,Hagen,Fley,thomas.becker@example.com
TdXKSMwLukThNCNSgZKrB+UXTJnSYVAOVBiOeRq,dWObsQTnxIQEoeDVpYSargXKqJwWGyGYxQLfQVz,sbWTUSfWcjMI/d+BXcRTOTfmjWUxShXMduSUyup,kuUdnicQymTUaCDzZjpVTFaYRhyNChkdwApyspp,YDNiYYYv/fqbaZE/RpTEKkLUQRHVMQGEs+qqxfv,8,KSA,Dr.,Thomas,Becker,Kirchweg,15,58093,Hagen,Fley,thomas.becker@example.com
xXZKsRrSSJNFxTUQPIURlxVUFGoTvRJxfeRBYNo,dWObsQTnxIQEoeDVpYSargXKqJwWGyGYxQLfQVz,sbWTUSfWcjMI/d+BXcRTOTfmjWUxShXMduSUyup,kuUdnicQymTUaCDzZjpVTFaYRhyNChkdwApyspp,YDNiYYYv/fqbaZE/RpTEKkLUQRHVMQGEs+qqxfv,8,KSA,Dr.,Thomas,Becker,Kirchweg,15,58093,Hagen,Fley,thomas.becker@example.com
