Meter Reading (MR) Doc. No.,HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,FORENAME,SURNAME,STREET,STREETNO,POST_CODE1,CITY1,CITY2,EMAIL
aNjEuqVzkdndZhhOmQqCPNVFXcZUfWTTIGDXWAv,kWY+uXXY+lcelsSi/VaocJeVYMXWYQQVYSsVDQG,f+GdBBgbpAam/YQVudEVwniRZaLU+fZSuxmzzhU,SdQjgpQMQjtSuVuTVW/ysDWZxCOHvLGcmACGTKK,eZJbRWsqXsizkuWYdBoeROGwZWtDsaCeMMJSRam,6,MANDATORY_READING,Dipl.-Ing.,Hans,Müller,Lindenallee,,58513,Lüdenscheid,,
gqcZUPPnN+TIJMXhRNyClZUMVCMYXJLecVdULzX,kWY+uXXY+lcelsSi/VaocJeVYMXWYQQVYSsVDQG,f+GdBBgbpAam/YQVudEVwniRZaLU+fZSuxmzzhU,SdQjgpQMQjtSuVuTVW/ysDWZxCOHvLGcmACGTKK,eZJbRWsqXsizkuWYdBoeROGwZWtDsaCeMMJSRam,6,MANDATORY_READING,Dipl.-Ing.,Hans,Müller,Lindenallee,,58513,Lüdenscheid,,
nUPUadwVwLERg/WZezPUUDLzeWUOTXjBgMhoDPw,kWY+uXXY+lcelsSi/VaocJeVYMXWYQQVYSsVDQG,f+GdBBgbpAam/YQVudEVwniRZaLU+fZSuxmzzhU,SdQjgpQMQjtSuVuTVW/ysDWZxCOHvLGcmACGTKK,eZJbRWsqXsizkuWYdBoeROGwZWtDsaCeMMJSRam,6,MANDATORY_READING,Dipl.-Ing.,Hans,Müller,Lindenallee,,58513,Lüdenscheid,,
yhLd/RYoRpVRcSBsSRBnqvXfwfDYeXBe+uHEXQn,kWY+uXXY+lcelsSi/VaocJeVYMXWYQQVYSsVDQG,f+GdBBgbpAam/YQVudEVwniRZaLU+fZSuxmzzhU,SdQjgpQMQjtSuVuTVW/ysDWZxCOHvLGcmACGTKK,eZJbRWsqXsizkuWYdBoeROGwZWtDsaCeMMJSRam,6,MANDATORY_READING,Dipl.-Ing.,Hans,Müller,Lindenallee,,58513,Lüdenscheid,,
AMkZEdgJZPXjbhfrDJnCuCrrrjYdbVQYSNwWtnU,RTZXSojAZF+WfKXiLdRYQRbSsbVQZSKXRQqMyj/,BpWTLJAkoAUbhsVHjRWgQcipNlgUDZFSKoeATrn,cHqHlQYoWmSUgg+CQwrfBrzhiZdIkEgMzTxeEGU,kvTYSqQ/mCWIGVLkBTagCpzrlYalwJwliWFYcUD,3,MANDATORY_READING,Frau,Maria,Wagner,Hauptstraße,,58553,Halver,Halver,
DXrUIQwRKYTYUPU+oDe+zbyDIabzSphd+eRUsDs,RTZXSojAZF+WfKXiLdRYQRbSsbVQZSKXRQqMyj/,BpWTLJAkoAUbhsVHjRWgQcipNlgUDZFSKoeATrn,cHqHlQYoWmSUgg+CQwrfBrzhiZdIkEgMzTxeEGU,kvTYSqQ/mCWIGVLkBTagCpzrlYalwJwliWFYcUD,3,MANDATORY_READING,Frau,Maria,Wagner,Hauptstraße,,58553,Halver,Halver,
TcWOHTbhwFmWxQFVASyGFbDZlkIWMvxWyXRZnwD,RTZXSojAZF+WfKXiLdRYQRbSsbVQZSKXRQqMyj/,BpWTLJAkoAUbhsVHjRWgQcipNlgUDZFSKoeATrn,cHqHlQYoWmSUgg+CQwrfBrzhiZdIkEgMzTxeEGU,kvTYSqQ/mCWIGVLkBTagCpzrlYalwJwliWFYcUD,3,MANDATORY_READING,Frau,Maria,Wagner,Hauptstraße,,58553,Halver,Halver,
VZUDpWXmQLOJUOiqTjXYTxQzjSzeWvkPEoYPTfk,RTZXSojAZF+WfKXiLdRYQRbSsbVQZSKXRQqMyj/,BpWTLJAkoAUbhsVHjRWgQcipNlgUDZFSKoeATrn,cHqHlQYoWmSUgg+CQwrfBrzhiZdIkEgMzTxeEGU,kvTYSqQ/mCWIGVLkBTagCpzrlYalwJwliWFYcUD,3,MANDATORY_READING,Frau,Maria,Wagner,Hauptstraße,,58553,Halver,Halver,
XpnkB+p/Yk/rWsZIfQxLUYgkumZGYBWHSXAQJZp,RTZXSojAZF+WfKXiLdRYQRbSsbVQZSKXRQqMyj/,BpWTLJAkoAUbhsVHjRWgQcipNlgUDZFSKoeATrn,cHqHlQYoWmSUgg+CQwrfBrzhiZdIkEgMzTxeEGU,kvTYSqQ/mCWIGVLkBTagCpzrlYalwJwliWFYcUD,3,MANDATORY_READING,Frau,Maria,Wagner,Hauptstraße,,58553,Halver,Halver,
YjfSTGyVKbZSPdPVztUcoVX/eTJXTZdwCuE/dEl,RTZXSojAZF+WfKXiLdRYQRbSsbVQZSKXRQqMyj/,BpWTLJAkoAUbhsVHjRWgQcipNlgUDZFSKoeATrn,cHqHlQYoWmSUgg+CQwrfBrzhiZdIkEgMzTxeEGU,kvTYSqQ/mCWIGVLkBTagCpzrlYalwJwliWFYcUD,3,MANDATORY_READING,Frau,Maria,Wagner,Hauptstraße,,58553,Halver,Halver,
