Meter Reading (MR) Doc. No.,HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,FORENAME,SURNAME,STREET,STREETNO,POST_CODE1,CITY1,CITY2,EMAIL
NfCaiRzidy/tXytVCvhCEgomZZpdlVjmSh/WOhc,vZQYyWyeZhmoqUTkljGW/JsZYgzHgAmaaixKcPW,bXjvVBbVFlPZaNOmhwZKWAgUIWNDDkgmCiclqBx,ruEB+BZgKwDVKlqMJ/QHtqeQVInSwBOkwlpacWp,AQy+FLQwKHvifvRawNU/lTUAEYtcvVZVsFkOZb/,14,DIRECT_MAIL,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,42,58762,Altena,Altena,anna.hoffmann@example.com
OYiWOyRpiiYEthbESRuimRSOSZWJPEKRQKsxxZH,vZQYyWyeZhmoqUTkljGW/JsZYgzHgAmaaixKcPW,bXjvVBbVFlPZaNOmhwZKWAgUIWNDDkgmCiclqBx,ruEB+BZgKwDVKlqMJ/QHtqeQVInSwBOkwlpacWp,AQy+FLQwKHvifvRawNU/lTUAEYtcvVZVsFkOZb/,14,DIRECT_MAIL,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,42,58762,Altena,Altena,anna.hoffmann@example.com
fZUIPQXYeqVTguQRqbgzFQKVFymqDqUzYBYHkpS,vZQYyWyeZhmoqUTkljGW/JsZYgzHgAmaaixKcPW,bXjvVBbVFlPZaNOmhwZKWAgUIWNDDkgmCiclqBx,ruEB+BZgKwDVKlqMJ/QHtqeQVInSwBOkwlpacWp,AQy+FLQwKHvifvRawNU/lTUAEYtcvVZVsFkOZb/,14,DIRECT_MAIL,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,42,58762,Altena,Altena,anna.hoffmann@example.com
wESuejTmsztrkqIqTfyOZODVhAdcZoWVLuSxT/S,vZQYyWyeZhmoqUTkljGW/JsZYgzHgAmaaixKcPW,bXjvVBbVFlPZaNOmhwZKWAgUIWNDDkgmCiclqBx,ruEB+BZgKwDVKlqMJ/QHtqeQVInSwBOkwlpacWp,AQy+FLQwKHvifvRawNU/lTUAEYtcvVZVsFkOZb/,14,DIRECT_MAIL,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,42,58762,Altena,Altena,anna.hoffmann@example.com
TQYnCZhMHBndfXUTaEWOUZWVzASlvYTM/AEiErD,ZeYugX/GRwQnxOSKs+uNaEVQxPvkXnSjAxgikkS,mYHWPWsRRP/XYsMUlBJoPXiIfqMlctYZIZMjvGH,GiYjQUQZnSJS+GWdFZuAXpTVzGqe/bXKtiYKJnj,FHWCbk+KZErIzVfNYbNFl+vDXVrRrXOrRfaYBsV,4,DIRECT_MAIL,Frau,Maria,Müller,Marktplatz,,58513,Lüdenscheid,,
YhxlvXXZLXEDEFgWuQQNXEZ/qeZ+UMIABjRNYmQ,ZeYugX/GRwQnxOSKs+uNaEVQxPvkXnSjAxgikkS,mYHWPWsRRP/XYsMUlBJoPXiIfqMlctYZIZMjvGH,GiYjQUQZnSJS+GWdFZuAXpTVzGqe/bXKtiYKJnj,FHWCbk+KZErIzVfNYbNFl+vDXVrRrXOrRfaYBsV,4,DIRECT_MAIL,Frau,Maria,Müller,Marktplatz,,58513,Lüdenscheid,,
ihGNemogcWgvyauqhqUgjUlAcVAbupHGRWFoNIY,ZeYugX/GRwQnxOSKs+uNaEVQxPvkXnSjAxgikkS,mYHWPWsRRP/XYsMUlBJoPXiIfqMlctYZIZMjvGH,GiYjQUQZnSJS+GWdFZuAXpTVzGqe/bXKtiYKJnj,FHWCbk+KZErIzVfNYbNFl+vDXVrRrXOrRfaYBsV,4,DIRECT_MAIL,Frau,Maria,Müller,Marktplatz,,58513,Lüdenscheid,,
tUUAOflHwlVVrVvPvvQmVJeuWlVWnJUPAblkRpR,ZeYugX/GRwQnxOSKs+uNaEVQxPvkXnSjAxgikkS,mYHWPWsRRP/XYsMUlBJoPXiIfqMlctYZIZMjvGH,GiYjQUQZnSJS+GWdFZuAXpTVzGqe/bXKtiYKJnj,FHWCbk+KZErIzVfNYbNFl+vDXVrRrXOrRfaYBsV,4,DIRECT_MAIL,Frau,Maria,Müller,Marktplatz,,58513,Lüdenscheid,,
'+cXhRpIQGSTZb/jOZAVQWkVfR/ydaqtIJMPXiIS,e+pwcXW+mqvBFYUhxlXKZXpQWqlRUJvmSQPiYHl,UiSctWGtZPUlCRpBMdUYbiFapRYuqFXTEMTtSsa,cHkQyIbdzJdOozTYUjqI+MWxqvifxePJxsUfMVt,vYmSSTSaYWSQlZjZWXgORpvMUjKDzjlv+xQRXTG,82,DIRECT_MAIL,Dipl.-Ing.,Julia,Wagner,Marktplatz,20,58762,Altena,Altena,julia.wagner@example.com
IVE+WWAioQpZEFUDZgMRcqChTXseheAamQmYYDc,e+pwcXW+mqvBFYUhxlXKZXpQWqlRUJvmSQPiYHl,UiSctWGtZPUlCRpBMdUYbiFapRYuqFXTEMTtSsa,cHkQyIbdzJdOozTYUjqI+MWxqvifxePJxsUfMVt,vYmSSTSaYWSQlZjZWXgORpvMUjKDzjlv+xQRXTG,82,DIRECT_MAIL,Dipl.-Ing.,Julia,Wagner,Marktplatz,20,58762,Altena,Altena,julia.wagner@example.com
