Meter Reading (MR) Doc. No.,HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,FORENAME,SURNAME,STREET,STREETNO,POST_CODE1,CITY1,CITY2,EMAIL
QJQCUMnJVlnMGUQUeBRkuUdUCXKMQQZYiXhYPZp,PdIWDPZDR/+CZZUHVZZlGSUWhuUeoQK/UmlAYa/,tUiBC+WnAIVbTaQlpDWUVnkmWWcLmaSHgbpoopI,tBoeyfmAgMWVccCVHGWUiNxU+fGDraLxRZZIXA+,rtQQdmISlDOVIYpzTqgWHndp+rtkps/EusbLNyC,9,EVU,Frau,Michael,Schmidt,Gartenstraße,,58089,Hagen,Vorhalle,
RzQLwIHxlOLAPwamB+mjJAWVOylsGXXRjrim/oH,PdIWDPZDR/+CZZUHVZZlGSUWhuUeoQK/UmlAYa/,tUiBC+WnAIVbTaQlpDWUVnkmWWcLmaSHgbpoopI,tBoeyfmAgMWVccCVHGWUiNxU+fGDraLxRZZIXA+,rtQQdmISlDOVIYpzTqgWHndp+rtkps/EusbLNyC,9,EVU,Frau,Michael,Schmidt,Gartenstraße,,58089,Hagen,Vorhalle,
owB/UZQipHKUIFZOFdzmmQECqgOtTDuXSSjMZRu,PdIWDPZDR/+CZZUHVZZlGSUWhuUeoQK/UmlAYa/,tUiBC+WnAIVbTaQlpDWUVnkmWWcLmaSHgbpoopI,tBoeyfmAgMWVccCVHGWUiNxU+fGDraLxRZZIXA+,rtQQdmISlDOVIYpzTqgWHndp+rtkps/EusbLNyC,9,EVU,Frau,Michael,Schmidt,Gartenstraße,,58089,Hagen,Vorhalle,
UYvHulLawPTSPpTgUF//wKdq/ll+TKWOhR/llYA,pawsnYUokcdYVcwHaa/kNec/qSYDjealTnuXTWY,BIHTeLVxEoJtWsSVewfXNvgSzWYozptkYRLCZoX,p+BVVWJnDpyKRAXVtsERLYWMOIpnaXahNXBXKCS,kVMRnEMf/hftUHfU/SmNRvPPFBZRSJMWCwXWOEo,22,EVU,Dr.,Peter,Meyer,Hauptstraße,,58089,Hagen,Vorhalle,
VvLTixgcUgGWoLc+EZFcVRefHlQWOzUCVTRwZJy,pawsnYUokcdYVcwHaa/kNec/qSYDjealTnuXTWY,BIHTeLVxEoJtWsSVewfXNvgSzWYozptkYRLCZoX,p+BVVWJnDpyKRAXVtsERLYWMOIpnaXahNXBXKCS,kVMRnEMf/hftUHfU/SmNRvPPFBZRSJMWCwXWOEo,22,EVU,Dr.,Peter,Meyer,Hauptstraße,,58089,Hagen,Vorhalle,
WzSQVXyxsjzQPSBogRX+ehTHlTVQVNLCIZtRmNy,pawsnYUokcdYVcwHaa/kNec/qSYDjealTnuXTWY,BIHTeLVxEoJtWsSVewfXNvgSzWYozptkYRLCZoX,p+BVVWJnDpyKRAXVtsERLYWMOIpnaXahNXBXKCS,kVMRnEMf/hftUHfU/SmNRvPPFBZRSJMWCwXWOEo,22,EVU,Dr.,Peter,Meyer,Hauptstraße,,58089,Hagen,Vorhalle,
tXrrRkSaF+sJvhZDETnAcisdqpGvcBcdyOY+YDk,pawsnYUokcdYVcwHaa/kNec/qSYDjealTnuXTWY,BIHTeLVxEoJtWsSVewfXNvgSzWYozptkYRLCZoX,p+BVVWJnDpyKRAXVtsERLYWMOIpnaXahNXBXKCS,kVMRnEMf/hftUHfU/SmNRvPPFBZRSJMWCwXWOEo,22,EVU,Dr.,Peter,Meyer,Hauptstraße,,58089,Hagen,Vorhalle,
'+YQXXPaE+GNASisYPSAvYnXGyULwYfEIyOjLXYC,xJkDcCtdIXNXuMYOakAGBXsRiqMBjjzil/gTjaj,PjUUpVGUVYVkAbRf+NWZSgGFBdRfVzWYUTUFbdU,lWjZGtWSyliAszzUoNRltwWWQMQyubKZYzoQLYA,OOHZS+ZGBNkXFsmExdQhvmNhNLssVBHHRcutjor,14,EVU,Frau,Julia,Schmidt,Marktplatz,3b,58809,Neuenrade,Neuenrade,julia.schmidt@example.com
VB+ZrQpAJJZkhhjROvipCIrHbJQLoqRoEWpQeyp,xJkDcCtdIXNXuMYOakAGBXsRiqMBjjzil/gTjaj,PjUUpVGUVYVkAbRf+NWZSgGFBdRfVzWYUTUFbdU,lWjZGtWSyliAszzUoNRltwWWQMQyubKZYzoQLYA,OOHZS+ZGBNkXFsmExdQhvmNhNLssVBHHRcutjor,14,EVU,Frau,Julia,Schmidt,Marktplatz,3b,58809,Neuenrade,Neuenrade,julia.schmidt@example.com
gSYGFNDQtCpnEUDkYkOSBXxTXaHePTKMV/lUPAu,xJkDcCtdIXNXuMYOakAGBXsRiqMBjjzil/gTjaj,PjUUpVGUVYVkAbRf+NWZSgGFBdRfVzWYUTUFbdU,lWjZGtWSyliAszzUoNRltwWWQMQyubKZYzoQLYA,OOHZS+ZGBNkXFsmExdQhvmNhNLssVBHHRcutjor,14,EVU,Frau,Julia,Schmidt,Marktplatz,3b,58809,Neuenrade,Neuenrade,julia.schmidt@example.com
